# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
a gen ting 	阿根廷	c=3 d=2.80304 t=85512
a san 	阿三	c=1 d=2.83259e-14 t=102671
ai 	爱	c=3 d=8.01784e-49 t=102671
ai chi 	爱吃	c=0 d=9.23626e-126 t=102671
ai hao 	爱好	c=1 d=5.16747e-28 t=102671
ai ka 	爱卡	c=1 d=6.93494e-136 t=102671
ai ya 	哎呀	c=1 d=1 t=94902
aic 	艾	c=4 d=4.89942e-19 t=102671
aic; yirv; te 	艾亿特	c=4 d=1.42608e-80 t=102671
aik 	唉	c=7 d=3.04532e-13 t=102671
aikx 	哎	c=1 d=1 t=88742
aiu; 	矮	c=4 d=3.33608e-27 t=102671
an hui 	安徽	c=1 d=1.44799e-149 t=102671
an jian 	按键	c=13 d=9.66427e-11 t=102671
an jian 	案件	c=8 d=2.17167e-17 t=102671
an jian ming cheng 	案件名称	c=1 d=1.16061e-17 t=102671
an jing 	安静	c=1 d=2.21227e-106 t=102671
an juan 	案卷	c=1 d=8.36639e-79 t=102671
an li 	案例	c=1 d=8.8049e-33 t=102671
an niu 	按钮	c=3 d=2.10344e-42 t=102671
an pai 	安排	c=15 d=0.640824 t=102671
an quan 	安全	c=18 d=0.000372602 t=102671
an quan dai 	安全带	c=35 d=2.22698e-37 t=102671
an quan me 	安全么	c=1 d=9.06041e-46 t=102671
an quan qi nang 	安全气囊	c=1 d=5.24149e-107 t=102671
an quan xing 	安全性	c=4 d=1.20699e-42 t=102671
an shi 	按时	c=4 d=1.24729e-13 t=102671
an shi 	暗示	c=1 d=4.26053e-81 t=102671
an shuo 	按说	c=1 d=7.60299e-71 t=102671
an wei 	安慰	c=1 d=7.85106e-37 t=102671
an xia 	按下	c=1 d=2.17089e-31 t=102671
an yi 	安逸	c=2 d=3.67305e-12 t=102671
an yuan 	案源	c=2 d=2.37182e-36 t=102671
an zhao 	按照	c=66 d=0.4297 t=102671
an zhuang 	安装	c=386 d=1.22907 t=102671
an zhuang ban 	安装板	c=22 d=0.00302464 t=102671
an zhuang bao 	安装包	c=3 d=2.27302e-20 t=102671
an zhuang ccm 	安装槽	c=3 d=0.000113155 t=102671
an zhuang kong 	安装孔	c=37 d=0.384812 t=102671
an zhuang kong biut; 	安装孔壁	c=1 d=2.04405e-58 t=102671
an zhuang tiao 	安装条	c=16 d=4.21369e-11 t=102671
an zhuang you 	安装有	c=22 d=0.0497288 t=102671
an zhuang zai 	安装在	c=4 d=1.00003 t=98735
an zhuang zog 	安装座	c=5 d=2.32777e-35 t=102671
an zhuo 	安卓	c=4 d=5.82443e-77 t=102671
an zi 	案子	c=94 d=0.438244 t=102671
anb 	安	c=5 d=0.0837432 t=102671
anb 	案	c=3 d=1.11742e-12 t=102671
anf 	按	c=13 d=2.05452e-07 t=102671
ao cao 	凹槽	c=30 d=1.76554 t=102671
ao guo 	熬过	c=1 d=1.39524e-36 t=102671
ao keng 	凹坑	c=1 d=1 t=83499
ao man 	傲慢	c=1 d=8.73129e-140 t=102671
ao shu 	奥数	c=1 d=1 t=96502
ao te man 	奥特曼	c=1 d=1 t=95575
ao xian 	凹陷	c=6 d=1.68724e-07 t=102671
ao yun 	奥运	c=2 d=1.86502 t=85523
ba 	把	c=1 d=0.810584 t=102671
ba ba 	粑粑	c=2 d=3.83931e-132 t=102671
ba chu 	拔出	c=2 d=5.9862e-23 t=102671
ba guan 	把关	c=1 d=2.2201e-30 t=102671
ba guo cheng 	巴国城	c=1 d=1.90704e-124 t=102671
ba ji si tan 	巴基斯坦	c=1 d=1.88742e-120 t=102671
ba la ba la 	巴拉巴拉	c=2 d=2.32995e-144 t=102671
ba le si tan 	巴勒斯坦	c=1 d=1.89688e-120 t=102671
ba nan 	巴南	c=2 d=1.48232e-13 t=102671
ba nan qu 	巴南区	c=4 d=1 t=100399
ba nin 	把您	c=1 d=1 t=100088
ba qian 	把钱	c=1 d=1 t=79256
ba qu 	拔去	c=1 d=1.08957e-68 t=102671
ba shou 	把手	c=7 d=0.248309 t=102671
ba shu 	巴蜀	c=2 d=6.19185e-38 t=102671
ba ta 	把它	c=1 d=3.63503e-66 t=102671
ba wo 	把我	c=1 d=1 t=91461
ba wo 	把握	c=2 d=4.57052e-25 t=102671
ba xi 	巴西	c=1 d=1 t=85464
ba zi 	靶子	c=1 d=4.90609e-35 t=102671
bab 	爸	c=6 d=8.41916e-06 t=102671
baf 	拔	c=3 d=7.95672e-100 t=102671
baf; vzi; qik 	拔轴器	c=3 d=1.07808e-99 t=102671
bafb; 	把	c=180 d=1.05242 t=102671
bafb; qi ta 	把其他	c=1 d=1.76059e-37 t=102671
bai 	白	c=1 d=7.88932e-06 t=102671
bai ban 	白板	c=29 d=4.26733e-41 t=102671
bai ban bi 	白板笔	c=2 d=2.74772e-56 t=102671
bai bian 	白边	c=2 d=1.00249e-88 t=102671
bai dong 	摆动	c=2 d=2.39546e-42 t=102671
bai du 	百度	c=5 d=1.03901e-09 t=102671
bai ke 	百科	c=4 d=3.43244e-09 t=102671
bai ljc 	白蓝	c=3 d=2.76403 t=101237
bai ming dan 	白名单	c=1 d=5.8565e-30 t=102671
bai run 	百润	c=1 d=8.13071e-37 t=102671
bai se 	白色	c=1 d=2.72375e-53 t=102671
bai tian 	白天	c=1 d=7.07572e-49 t=102671
bai tou shan 	白头山	c=1 d=4.28959e-14 t=102671
bak 	吧	c=264 d=2.58293 t=102671
ban 	办	c=2 d=1.32742e-38 t=102671
ban ben 	版本	c=17 d=0.355146 t=102671
ban cai 	板材	c=98 d=2.26618e-07 t=102671
ban cai jin xing 	板材进行	c=1 d=1 t=80912
ban cai lian jie 	板材连接	c=2 d=8.19019e-60 t=102671
ban cai lmz jie jian 	板材连借鉴	c=1 d=5.73626e-80 t=102671
ban ce 	半侧	c=4 d=2.89473e-34 t=102671
ban cheng pin 	半成品	c=2 d=1.17451e-61 t=102671
ban dian 	斑点	c=23 d=6.51741e-17 t=102671
ban fa 	办法	c=5 d=3.4951e-16 t=102671
ban gao 	半高	c=2 d=1.15098e-29 t=102671
ban ge xiao shi 	半个小时	c=1 d=4.13039e-69 t=102671
ban gong 	办公	c=1 d=8.01323e-101 t=102671
ban gong shi 	办公室	c=11 d=2.26579e-05 t=102671
ban hua 	版画	c=1 d=5.4136e-46 t=102671
ban jiao 	半角	c=1 d=1.28866e-13 t=102671
ban jing 	半径	c=3 d=0.213312 t=102671
ban jiu 	办酒	c=1 d=1.9999e-07 t=102671
ban jiu 	斑鸠	c=1 d=1.98992e-07 t=102671
ban li 	办理	c=32 d=1.70612e-09 t=102671
ban liao 	般樂	c=1 d=1 t=82702
ban mian 	版面	c=1 d=9.17174e-72 t=102671
ban nian 	半年	c=5 d=5.31488e-06 t=102671
ban qian 	搬迁	c=1 d=1.96163e-15 t=102671
ban qiu xing 	半球形	c=1 d=5.82196e-78 t=102671
ban quan 	版权	c=2 d=2.12465e-13 t=102671
ban quan ju 	版权局	c=1 d=5.35118e-86 t=102671
ban shi 	板式	c=1 d=6.6041e-61 t=102671
ban tong 	伴同	c=0 d=2.00979e-66 t=102671
